"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","0.31","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1934-01","ISO_DATE"
"National Centers for Environmental Information","1.13","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2001-08","ISO_DATE"
"National Centers for Environmental Information","0.9","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1906-07","ISO_DATE"
"National Centers for Environmental Information","0.5","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1905-08","ISO_DATE"
"National Centers for Environmental Information","0.01","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1905-10","ISO_DATE"
"National Centers for Environmental Information","1.26","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2000-08","ISO_DATE"
"National Centers for Environmental Information","3.9","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1916-01","ISO_DATE"
"National Centers for Environmental Information","0.77","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1977-08","ISO_DATE"
"National Centers for Environmental Information","1.59","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1966-08","ISO_DATE"
"National Centers for Environmental Information","1.25","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1976-07","ISO_DATE"
"National Centers for Environmental Information","1.97","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1912-07","ISO_DATE"
"National Centers for Environmental Information","1.33","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1912-10","ISO_DATE"
"National Centers for Environmental Information","0.07","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1925-01","ISO_DATE"
"National Centers for Environmental Information","1.4","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1925-08","ISO_DATE"
"National Centers for Environmental Information","1.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1982-01","ISO_DATE"
"National Centers for Environmental Information","2.66","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1955-01","ISO_DATE"
"National Centers for Environmental Information","0.29","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1967-01","ISO_DATE"
"National Centers for Environmental Information","0.83","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1981-01","ISO_DATE"
"National Centers for Environmental Information","0.89","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1981-07","ISO_DATE"
"National Centers for Environmental Information","0.7","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-07","ISO_DATE"
"National Centers for Environmental Information","2.06","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1904-07","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2013-06","ISO_DATE"
"National Centers for Environmental Information","3.32","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1979-01","ISO_DATE"
