"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","0.16","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1955-10","ISO_DATE"
"National Centers for Environmental Information","0.22","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1967-06","ISO_DATE"
"National Centers for Environmental Information","0.02","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1935-10","ISO_DATE"
"National Centers for Environmental Information","2.79","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1917-07","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-06","ISO_DATE"
"National Centers for Environmental Information","0.45","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-10","ISO_DATE"
"National Centers for Environmental Information","1.15","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1928-08","ISO_DATE"
"National Centers for Environmental Information","0.12","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1933-06","ISO_DATE"
"National Centers for Environmental Information","0.73","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1933-10","ISO_DATE"
"National Centers for Environmental Information","1.5","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2013-01","ISO_DATE"
"National Centers for Environmental Information","1.49","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1979-08","ISO_DATE"
"National Centers for Environmental Information","2.99","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1978-01","ISO_DATE"
"National Centers for Environmental Information","1.87","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1953-07","ISO_DATE"
"National Centers for Environmental Information","1.49","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2008-07","ISO_DATE"
"National Centers for Environmental Information","0.02","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1968-06","ISO_DATE"
"National Centers for Environmental Information","0.75","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1901-01","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1901-06","ISO_DATE"
"National Centers for Environmental Information","1.92","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1930-01","ISO_DATE"
"National Centers for Environmental Information","0.19","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1899-06","ISO_DATE"
"National Centers for Environmental Information","0.36","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1899-10","ISO_DATE"
"National Centers for Environmental Information","0.15","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1997-07","ISO_DATE"
"National Centers for Environmental Information","0.25","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1997-10","ISO_DATE"
"National Centers for Environmental Information","0.42","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1950-08","ISO_DATE"
"National Centers for Environmental Information","0.41","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1947-07","ISO_DATE"
"National Centers for Environmental Information","0.39","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1944-01","ISO_DATE"
"National Centers for Environmental Information","0.45","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1944-08","ISO_DATE"
"National Centers for Environmental Information","0.42","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1944-10","ISO_DATE"
"National Centers for Environmental Information","0.78","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1991-01","ISO_DATE"
"National Centers for Environmental Information","0.8","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1991-10","ISO_DATE"
"National Centers for Environmental Information","1.23","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1896-08","ISO_DATE"
"National Centers for Environmental Information","0.59","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2009-07","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2017-06","ISO_DATE"
"National Centers for Environmental Information","0.24","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1938-09","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1975-06","ISO_DATE"
"National Centers for Environmental Information","1.2","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1960-01","ISO_DATE"
"National Centers for Environmental Information","0.53","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1960-07","ISO_DATE"
"National Centers for Environmental Information","0.15","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1962-06","ISO_DATE"
"National Centers for Environmental Information","0.76","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1898-07","ISO_DATE"
"National Centers for Environmental Information","0.06","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1903-01","ISO_DATE"
"National Centers for Environmental Information","0.77","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1903-08","ISO_DATE"
"National Centers for Environmental Information","0.14","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1994-01","ISO_DATE"
"National Centers for Environmental Information","0.29","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1900-10","ISO_DATE"
"National Centers for Environmental Information","0.89","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2015-09","ISO_DATE"
"National Centers for Environmental Information","0.19","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1992-09","ISO_DATE"
"National Centers for Environmental Information","0.99","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1982-09","ISO_DATE"
"National Centers for Environmental Information","2.5","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1984-09","ISO_DATE"
"National Centers for Environmental Information","0.46","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1936-09","ISO_DATE"
"National Centers for Environmental Information","0.26","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1934-09","ISO_DATE"
"National Centers for Environmental Information","0.28","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1913-09","ISO_DATE"
"National Centers for Environmental Information","0.85","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1909-09","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1973-09","ISO_DATE"
"National Centers for Environmental Information","1.47","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2006-09","ISO_DATE"
"National Centers for Environmental Information","1.08","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1971-09","ISO_DATE"
"National Centers for Environmental Information","1.82","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1903-09","ISO_DATE"
"National Centers for Environmental Information","0.3","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1895-09","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1939-05","ISO_DATE"
"National Centers for Environmental Information","1.02","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1939-11","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1988-05","ISO_DATE"
"National Centers for Environmental Information","0.09","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1972-05","ISO_DATE"
"National Centers for Environmental Information","1.04","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1972-11","ISO_DATE"
"National Centers for Environmental Information","0.03","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1920-11","ISO_DATE"
"National Centers for Environmental Information","0.22","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1951-09","ISO_DATE"
"National Centers for Environmental Information","3.28","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1946-09","ISO_DATE"
"National Centers for Environmental Information","0.92","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2012-09","ISO_DATE"
"National Centers for Environmental Information","0.27","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2008-09","ISO_DATE"
"National Centers for Environmental Information","0.01","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1968-09","ISO_DATE"
"National Centers for Environmental Information","2.33","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-09","ISO_DATE"
"National Centers for Environmental Information","1.24","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-09","ISO_DATE"
"National Centers for Environmental Information","3.44","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1905-11","ISO_DATE"
"National Centers for Environmental Information","1.03","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1914-11","ISO_DATE"
"National Centers for Environmental Information","0.23","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1996-11","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1897-11","ISO_DATE"
"National Centers for Environmental Information","0.67","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1941-05","ISO_DATE"
"National Centers for Environmental Information","0.03","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2006-05","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-05","ISO_DATE"
"National Centers for Environmental Information","0.14","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1993-05","ISO_DATE"
"National Centers for Environmental Information","0.91","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1915-11","ISO_DATE"
"National Centers for Environmental Information","0.02","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1925-05","ISO_DATE"
"National Centers for Environmental Information","0.17","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1955-11","ISO_DATE"
"National Centers for Environmental Information","0.1","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1967-05","ISO_DATE"
"National Centers for Environmental Information","1.38","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1924-03","ISO_DATE"
"National Centers for Environmental Information","0.15","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1954-05","ISO_DATE"
"National Centers for Environmental Information","0.04","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1903-05","ISO_DATE"
"National Centers for Environmental Information","0.59","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1994-11","ISO_DATE"
"National Centers for Environmental Information","0.13","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1927-05","ISO_DATE"
"National Centers for Environmental Information","0.03","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1959-05","ISO_DATE"
"National Centers for Environmental Information","0.19","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2016-05","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1991-05","ISO_DATE"
"National Centers for Environmental Information","0.12","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2017-05","ISO_DATE"
"National Centers for Environmental Information","0.08","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2012-11","ISO_DATE"
"National Centers for Environmental Information","0.94","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2007-11","ISO_DATE"
"National Centers for Environmental Information","0.26","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1925-03","ISO_DATE"
"National Centers for Environmental Information","0.18","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1999-03","ISO_DATE"
"National Centers for Environmental Information","2.65","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1952-03","ISO_DATE"
"National Centers for Environmental Information","3.65","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1941-03","ISO_DATE"
"National Centers for Environmental Information","0.59","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2005-03","ISO_DATE"
"National Centers for Environmental Information","0.14","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1988-03","ISO_DATE"
"National Centers for Environmental Information","0.26","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1921-03","ISO_DATE"
"National Centers for Environmental Information","0.94","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1923-03","ISO_DATE"
"National Centers for Environmental Information","1.48","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1920-03","ISO_DATE"
"National Centers for Environmental Information","1.72","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1937-03","ISO_DATE"
"National Centers for Environmental Information","0.39","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1907-02","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1972-02","ISO_DATE"
"National Centers for Environmental Information","3.45","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2003-02","ISO_DATE"
"National Centers for Environmental Information","0.85","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1927-03","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1959-03","ISO_DATE"
"National Centers for Environmental Information","0.97","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1944-03","ISO_DATE"
"National Centers for Environmental Information","1.18","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1935-03","ISO_DATE"
"National Centers for Environmental Information","0.21","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1904-03","ISO_DATE"
"National Centers for Environmental Information","0.46","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1963-03","ISO_DATE"
"National Centers for Environmental Information","1.26","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1928-02","ISO_DATE"
"National Centers for Environmental Information","0.38","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1904-02","ISO_DATE"
"National Centers for Environmental Information","1.03","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1911-02","ISO_DATE"
"National Centers for Environmental Information","0.21","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2000-02","ISO_DATE"
"National Centers for Environmental Information","1.43","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2020-02","ISO_DATE"
"National Centers for Environmental Information","0.02","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1910-02","ISO_DATE"
"National Centers for Environmental Information","0.7","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1942-02","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2005-12","ISO_DATE"
"National Centers for Environmental Information","0.57","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1970-12","ISO_DATE"
"National Centers for Environmental Information","0.1","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1923-04","ISO_DATE"
"National Centers for Environmental Information","0.04","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1918-04","ISO_DATE"
"National Centers for Environmental Information","0.54","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1954-02","ISO_DATE"
"National Centers for Environmental Information","0.04","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1898-02","ISO_DATE"
"National Centers for Environmental Information","1.04","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1994-02","ISO_DATE"
"National Centers for Environmental Information","0.27","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1951-02","ISO_DATE"
"National Centers for Environmental Information","0.87","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1948-02","ISO_DATE"
"National Centers for Environmental Information","1.14","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1968-02","ISO_DATE"
"National Centers for Environmental Information","0.5","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1980-04","ISO_DATE"
"National Centers for Environmental Information","1.37","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1905-04","ISO_DATE"
"National Centers for Environmental Information","0.03","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2021-04","ISO_DATE"
"National Centers for Environmental Information","0.03","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1956-12","ISO_DATE"
"National Centers for Environmental Information","0.62","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1971-12","ISO_DATE"
"National Centers for Environmental Information","0.4","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1997-04","ISO_DATE"
"National Centers for Environmental Information","1.36","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1965-04","ISO_DATE"
"National Centers for Environmental Information","0.42","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1935-12","ISO_DATE"
"National Centers for Environmental Information","1.11","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1917-04","ISO_DATE"
"National Centers for Environmental Information","1.02","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1915-04","ISO_DATE"
"National Centers for Environmental Information","1.27","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2014-12","ISO_DATE"
"National Centers for Environmental Information","0.25","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1955-12","ISO_DATE"
"National Centers for Environmental Information","0.27","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1981-04","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1954-04","ISO_DATE"
"National Centers for Environmental Information","0.59","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1975-04","ISO_DATE"
"National Centers for Environmental Information","0.81","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1962-12","ISO_DATE"
"National Centers for Environmental Information","0.19","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1903-04","ISO_DATE"
"National Centers for Environmental Information","1.1","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1949-12","ISO_DATE"
"National Centers for Environmental Information","0.01","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1895-04","ISO_DATE"
